"109年05月27日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,076,504","510","23,853,289","22.30","22.40","22.05","22.10","-","0.20","22.10","172","22.15","10","43.33",
"1203","味王","73,814","44","2,076,871","28.00","28.40","28.00","28.30","+","0.25","28.20","1","28.35","5","14.74",
"1210","大成","1,659,772","988","73,422,068","44.40","44.55","44.10","44.15","-","0.05","44.15","11","44.20","43","14.62",
"1213","大飲","0","0","0","--","--","--","--"," ","0.00","5.86","2","6.03","1","",
"1215","卜蜂","1,679,190","1,100","121,380,020","73.10","73.10","71.60","72.30","-","0.70","72.30","26","72.40","22","13.31",
"1216","統一","4,468,697","2,016","322,733,961","72.30","72.80","72.00","72.40","+","0.10","72.30","2","72.40","53","22.62",
"1217","愛之味","1,740,850","595","12,278,482","7.11","7.11","7.02","7.05","-","0.04","7.05","37","7.06","15","58.75",
"1218","泰山","2,595,447","970","63,216,422","24.05","24.60","24.00","24.45","+","0.55","24.45","23","24.50","26","19.72",
"1219","福壽","40,654","35","776,476","19.10","19.40","19.00","19.00","-","0.10","19.00","5","19.10","2","13.97",
"1220","台榮","148,000","65","1,596,150","10.80","10.85","10.70","10.85","+","0.05","10.80","11","10.85","14","14.47",
"1225","福懋油","71,000","51","2,612,300","37.05","37.05","36.55","36.80","-","0.25","36.80","3","36.85","1","23.74",
"1227","佳格","520,818","469","34,539,788","67.00","67.00","66.00","66.00","-","0.70","66.00","37","66.20","3","18.54",
"1229","聯華","2,038,853","1,252","85,434,364","42.00","42.15","41.75","41.80","-","0.15","41.80","126","41.85","2","23.75",
"1231","聯華食","140,916","108","5,907,074","41.85","42.00","41.75","41.90","+","0.05","41.90","13","41.95","11","14.30",
"1232","大統益","53,509","59","6,321,323","118.50","119.00","117.00","119.00","+","0.50","118.00","1","119.00","15","20.17",
"1233","天仁","14,000","11","502,950","36.00","36.00","35.90","35.90","-","0.10","35.90","2","36.20","1","27.20",
"1234","黑松","23,218","36","745,926","32.05","32.30","32.00","32.20","-","0.05","32.15","3","32.20","9","16.35",
"1235","興泰","9,000","6","229,300","25.40","25.70","25.40","25.50","-","0.30","25.40","3","25.50","2","36.43",
"1236","宏亞","39,102","26","466,248","11.90","11.95","11.90","11.95","+","0.05","11.90","16","12.00","16","62.89",
"1256","鮮活果汁-KY","35,629","60","7,362,141","207.00","207.00","206.00","207.00","+","0.50","206.50","1","207.50","1","14.94",
"1702","南僑","245,826","231","11,098,271","45.55","45.55","44.60","45.10","-","0.15","45.05","5","45.10","6","13.23",
"1737","臺鹽","124,147","96","3,876,874","31.35","31.35","31.15","31.20","-","0.05","31.15","7","31.20","48","19.75",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

